Heading,Subheading,Title,URL,Filepath,Content Type,Content Hash
Institute/Religion,,Check for Institute Registration for College Credit.pdf,https://missionaries.prod.byu-pathway.psdops.com/institute-for-college-credit,./data/pdf/Check-for-Institute-Registration-for-College-Creditpdf.pdf,pdf,976fe4a3d3aaff88c64ec3964f92b056a18c8b61d0bd62c7843d406ffce54a81
Institute/Religion,,Institute - Religion course requirements for PathwayConnect Students,https://www.byupathway.edu/policies/catalog/7-01-institute-religion-course-requirements,./data/html/Institute---Religion-course-requirements-for-PathwayConnect-Students.html,html,0bef09fb7bd116ef9dee9e7882c2bd0b66fc149ab7382c3428af8eb770345500
Missionary Processes,When you are finished with your PathwayConnect Service,International CSM SSM Application Process.pdf,https://missionaries.prod.byu-pathway.psdops.com/International-CSM-SSM-Application-Process,./data/pdf/International-CSM-SSM-Application-Processpdf.pdf,pdf,1b59767bd0a41234e073427d8f457573c4d5099a36f733fb15dd5dcf8305ec49
Missionary Processes,When you are finished with your PathwayConnect Service,International CSM SSM Application Process Feb2022 Int Application and Extension.pdf,https://missionaries.prod.byu-pathway.psdops.com/International-CSM-SSM-Application-Process-Feb2022-Int-Application-and-Extension,./data/pdf/International-CSM-SSM-Application-Process-Feb-Int-Application-and-Extensionpdf.pdf,pdf,d828e5b496e8b7cfb4f1336e1399f6c4d1e66c9315c338a856208919288b7ecb
Software Systems,Troubleshooting,Check to See if a BYU-Pathway Worldwide System is Down,https://office365lds.sharepoint.com/sites/BYU-PathwayTechnicalSupport/SitePages/System-Status.aspx?xsdata=MDV8MDJ8ZWR3YXJkc3JpY2tpZUBieXVwYXRod2F5Lm9yZ3w1YWFlYjFhNDllOTY0MzZkNTE3MzA4ZGM2Zjg3OGY2OHw2MWU2ZWViMzVmZDc0YWFhYWUzYzYxZThkZWIwOWI3OXwwfDB8NjM4NTA3ODc1MjE5Nzg2NDg1fFVua25vd258VFdGcGJHWnNiM2Q4ZXlKV0lqb2lNQzR3TGpBd01EQWlMQ0pRSWpvaVYybHVNeklpTENKQlRpSTZJazFoYVd3aUxDSlhWQ0k2TW4wPXwwfHx8&sdata=QnlHMGZ5SXd5enNYRUM3bktoa0lNZ0Z3VE84Yk9EK0hhYmhLakM5aXVhcz0%3D&CT=1715195813843&OR=OWA-NT-Mail&CID=a0a1c942-2326-f38f-5387-ba456eb48a6a&clickParams=eyJYLUFwcE5hbWUiOiJNaWNyb3NvZnQgT3V0bG9vayBXZWIgQXBwIiwiWC1BcHBWZXJzaW9uIjoiMjAyNDA0MTkwMDcuMzUiLCJPUyI6Ik1hYyBPUyBYIHVuZGVmaW5lZCJ9,403 Client Error: Forbidden for url: https://office365lds.sharepoint.com/sites/BYU-PathwayTechnicalSupport/SitePages/System-Status.aspx?xsdata=MDV8MDJ8ZWR3YXJkc3JpY2tpZUBieXVwYXRod2F5Lm9yZ3w1YWFlYjFhNDllOTY0MzZkNTE3MzA4ZGM2Zjg3OGY2OHw2MWU2ZWViMzVmZDc0YWFhYWUzYzYxZThkZWIwOWI3OXwwfDB8NjM4NTA3ODc1MjE5Nzg2NDg1fFVua25vd258VFdGcGJHWnNiM2Q4ZXlKV0lqb2lNQzR3TGpBd01EQWlMQ0pRSWpvaVYybHVNeklpTENKQlRpSTZJazFoYVd3aUxDSlhWQ0k2TW4wPXwwfHx8&sdata=QnlHMGZ5SXd5enNYRUM3bktoa0lNZ0Z3VE84Yk9EK0hhYmhLakM5aXVhcz0%3D&CT=1715195813843&OR=OWA-NT-Mail&CID=a0a1c942-2326-f38f-5387-ba456eb48a6a&clickParams=eyJYLUFwcE5hbWUiOiJNaWNyb3NvZnQgT3V0bG9vayBXZWIgQXBwIiwiWC1BcHBWZXJzaW9uIjoiMjAyNDA0MTkwMDcuMzUiLCJPUyI6Ik1hYyBPUyBYIHVuZGVmaW5lZCJ9,403,
PathwayConnect (PC),PathwayConnect General Information,About New Student Visits.pdf,https://missionaries.prod.byu-pathway.psdops.com/About-New-Student-Visits,./data/pdf/About-New-Student-Visitspdf.pdf,pdf,46f931ecbcba97360118e2a05e4bff5da2ae0f6e2628efa682df507e16f34d25
PathwayConnect (PC),PathwayConnect General Information,Academic Planning Tools for PC.pdf,https://missionaries.prod.byu-pathway.psdops.com/Academic-Planning-Tools-for-PC,./data/pdf/Academic-Planning-Tools-for-PCpdf.pdf,pdf,948fae57325c186d34a99e79884d7106666ad4cbbd40fff8af9af2988bf7db05
PathwayConnect (PC),PathwayConnect General Information,Academic Planning Tools.pdf,https://missionaries.prod.byu-pathway.psdops.com/Academic-Planning-Tools,./data/pdf/Academic-Planning-Toolspdf.pdf,pdf,f117ea9b8c990155d0b36010ee88fbdcd67fb16cd7c1229abfeab8a8faf0e7a8
PathwayConnect (PC),PathwayConnect General Information,Auto-drop.pdf,https://missionaries.prod.byu-pathway.psdops.com/Auto-drop,./data/pdf/Auto-droppdf.pdf,pdf,13651a7b9e5d0fe2eae3c28211d6a4c716b32f24c335bd7f10a488772716e6ad
PathwayConnect (PC),PathwayConnect General Information,Best Practices for an In-Person Gathering.pdf,https://missionaries.prod.byu-pathway.psdops.com/Best-Practices-for-an-In-Person-Gathering,./data/pdf/Best-Practices-for-an-In-Person-Gatheringpdf.pdf,pdf,8cb2fce5e90f48ca4c74ef5af048312aac14e411be4c183166f09702a065a5b0
PathwayConnect (PC),PathwayConnect General Information,Block and Instructional TeaFAQ.pdf,https://missionaries.prod.byu-pathway.psdops.com/Block-and-Instructional-TeaFAQ,./data/pdf/Block-and-Instructional-TeaFAQpdf.pdf,pdf,cc579e9eaae89c16fe70cdfffec0b0ea137b2b570cd02dc96ce26db0f4e8981f
PathwayConnect (PC),PathwayConnect General Information,Calculate a Students GPA.pdf,https://missionaries.prod.byu-pathway.psdops.com/Calculate-a-Students-GPA,./data/pdf/Calculate-a-Students-GPApdf.pdf,pdf,2428a807fb35cd07468a689bfcfe39e2ef150b2bd863353cc617b1e8d87c3540
PathwayConnect (PC),PathwayConnect General Information,Course Preview Overview.pdf,https://missionaries.prod.byu-pathway.psdops.com/Course-Preview-Overview,./data/pdf/Course-Preview-Overviewpdf.pdf,pdf,735754e0019c1342306076073313b412325a7ae41b928e1bdad191a6d7d442d2
PathwayConnect (PC),PathwayConnect General Information,Explain Auto-drop to Students for PC.pdf,https://missionaries.prod.byu-pathway.psdops.com/Explain-Auto-drop-to-Students-for-PC,./data/pdf/Explain-Auto-drop-to-Students-for-PCpdf.pdf,pdf,896f75bf5af0af9344dfa69fe1f8e1b36b1cdad93f19b8453f4e4a2fb9656932
PathwayConnect (PC),PathwayConnect General Information,Explain the Block Schedule.pdf,https://missionaries.prod.byu-pathway.psdops.com/Explain-the-Block-Schedule,./data/pdf/Explain-the-Block-Schedulepdf.pdf,pdf,fd14dd8c3017959fde0b21c824eb0cb2600f38d7b56fb44bc6ce1662c9276fc1
PathwayConnect (PC),PathwayConnect General Information,Forming Team Project Groups for PC 102.pdf,https://missionaries.prod.byu-pathway.psdops.com/Forming-Team-Project-Groups-for-PC-102,./data/pdf/Forming-Team-Project-Groups-for-PC-pdf.pdf,pdf,4a06e80a3e456951977a5b37f774f80040e31c013b96286d24126fd9fed956d6
PathwayConnect (PC),PathwayConnect General Information,How Students Choose Their Certificate.pdf,https://missionaries.prod.byu-pathway.psdops.com/How-Students-Choose-Their-Certificate,./data/pdf/How-Students-Choose-Their-Certificatepdf.pdf,pdf,44a23e5c897b1e1266d702f55925e1b33e264ca8d7bbb00b3991a5b2b97cd45c
PathwayConnect (PC),PathwayConnect General Information,How Students Print Their Certificate of Completion.pdf,https://missionaries.prod.byu-pathway.psdops.com/How-Students-Print-Their-Certificate-of-Completion,./data/pdf/How-Students-Print-Their-Certificate-of-Completionpdf.pdf,pdf,1af84a38df1fc80ed97956e1a710355d38f8a26e44e493d8f33881e50c578bef
PathwayConnect (PC),PathwayConnect General Information,How Students Repeat Courses.pdf,https://missionaries.prod.byu-pathway.psdops.com/How-Students-Repeat-Courses,./data/pdf/How-Students-Repeat-Coursespdf.pdf,pdf,055ca5bff965ca0e79bc971f1b7426fe737e24bab14599b7378a1d1695ee17c6
PathwayConnect (PC),PathwayConnect General Information,Ideas if a lead student doesn't show.pdf,https://missionaries.prod.byu-pathway.psdops.com/Ideas-if-a-lead-student-doesn't-show,./data/pdf/Ideas-if-a-lead-student-doesnt-showpdf.pdf,pdf,5eb428206d37b23de3cb031c3e3bf6f38dc627e9b175ea262a6fda24da31419f
PathwayConnect (PC),PathwayConnect General Information,Instructional Teams.pdf,https://missionaries.prod.byu-pathway.psdops.com/Instructional-Teams,./data/pdf/Instructional-Teamspdf.pdf,pdf,2b0167624d639523e711179ec9f20f3ec9aeb78814c0cbc286d2658124299567
PathwayConnect (PC),PathwayConnect General Information,Learn About PC 101.pdf,https://missionaries.prod.byu-pathway.psdops.com/Learn-About-PC-101,./data/pdf/Learn-About-PC-pdf.pdf,pdf,3dd5edf01c015093b3e5a6696b0479c3571a02dc2e2cd695f4ea0d30d45cb9b2
PathwayConnect (PC),PathwayConnect General Information,Navigating the Student Portal.pdf,https://missionaries.prod.byu-pathway.psdops.com/navigating-the-student-portal,./data/pdf/Navigating-the-Student-Portalpdf.pdf,pdf,4322b2819e50f0d7bb161203001741d79db64bbda331f0b97a02b6debc478fc6
PathwayConnect (PC),PathwayConnect General Information,New Student Orientation/New Student Checklist,https://www.byupathway.edu/new-student-orientation-pathwayconnect?pk_campaign=NSU&pk_kwd=-4.2&pk_source=email&pk_medium=26-03-2024&pk_content=03,./data/html/New-Student-OrientationNew-Student-Checklist.html,html,4f170d8895b39c82800d38ea046ba567c3762c25a2a0d812fb140879ec4c7115
PathwayConnect (PC),PathwayConnect General Information,New Student Visits - Tracker.pdf,https://missionaries.prod.byu-pathway.psdops.com/New-Student-Visits-Tracker,./data/pdf/New-Student-Visits---Trackerpdf.pdf,pdf,39a3f5b9e94f20d3d63b0832120f57f2406965ff4186bf30be0965307408bb56
PathwayConnect (PC),PathwayConnect General Information,New Student Visits.pdf,https://missionaries.prod.byu-pathway.psdops.com/New-Student-Visits,./data/pdf/New-Student-Visitspdf.pdf,pdf,cfa1d5f54424f85e2dde622d83a0b5cddb4cc1a56caa246ad39741dde698c03a
PathwayConnect (PC),PathwayConnect General Information,PathwayConnect Common Terms.pdf,https://missionaries.prod.byu-pathway.psdops.com/PathwayConnect-Common-Terms,./data/pdf/PathwayConnect-Common-Termspdf.pdf,pdf,ffd00af2783960785bf01a61e7c55280e02cb7082a1ec98c0a22c74ece0a4ef0
PathwayConnect (PC),PathwayConnect General Information,PC 101 Block Lead Student Sign-Up Sheet.pdf,https://missionaries.prod.byu-pathway.psdops.com/PC-101-Block-Lead-Student-Sign-Up-Sheet,./data/pdf/PC--Block-Lead-Student-Sign-Up-Sheetpdf.pdf,pdf,eed7e0a98ebf382f294e23859ec9e6878fecfff87488f04f4072844d7f1e336c
PathwayConnect (PC),PathwayConnect General Information,PC 103 Block LS Sign-Up Sheet Fillable.pdf,https://missionaries.prod.byu-pathway.psdops.com/PC-103-Block-LS-Sign-Up-Sheet-Fillable,./data/pdf/PC--Block-LS-Sign-Up-Sheet-Fillablepdf.pdf,pdf,18e7024bfd8519a8315668dceb79efb91bb03a69e1040ee4fe4182b65630d256
